doi,year,journal,reading_depth,cellulose_type,arch_layer,solvent_layer,network_layer,strategy,application,mentions_temp_value,has_negative_temp,lowest_neg_temp,mentions_conductivity,reports_cond_value,mentions_mechanics,reports_mech_value,mentions_GF,reports_GF_value,mentions_self_healing,reports_heal_value,mentions_adhesion,reports_adh_value,mentions_anti_drying,mentions_sustainability,mentions_transparency,claims_wide_temperature,any_func_nonmech,any_func_all,has_cellulose
10.1016/j.ijbiomac.2022.03.025,2022,,R2,Unspecified,Chitin_CS|PAM,Salt|DES_IL|Org_polyol,SelfHeal|Adhesive,Salt+DES+Org-H+Chitin/CS+PAM,General,YES,YES,-80,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
10.1039/d2ta06835d,2022,,R2,Regen,Regen|Lignin,None,None,Lignin,Sensor+Energy+Environmental,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2021.118925,2021,,R2,Regen,Regen,None,None,NanoCell,Biomedical,YES,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1021/acsami.2c14157,2022,,R2,Unspecified,PVA,Salt,DynamicBond|SelfHeal|Adhesive,DynamicBond+PVA,Sensor,YES,NO,,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2022.11.014,2022,,R2,Unspecified,PVA,None,SelfHeal,NanoCell+PVA,Sensor,NO,NO,,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1002/adfm.202207714,2022,Advanced Functional Materials,R2,Unspecified,Cellulose_unspec,DES_IL,None,DES,Sensor+Actuator+TENG,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.carbpol.2022.120117,2022,,R2,CNF+CNC+MFC/MCC,NanoCell_CNF|NanoCell_CNC|PVA,None,None,NanoCell+PVA,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/anie.202200271,2022,Angewandte Chemie,R2,None,None,Salt,None,Unclear,Environmental,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
10.1016/j.jcis.2022.01.117,2022,,R2,Unspecified,PAM,None,Adhesive,NanoCell+PAM,Sensor,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES
10.1063/1674-0068/cjcp2106104,2022,,R2,CMC,CMC|PAA,None,None,PAA,Sensor+Coating,NO,NO,,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.126693,2023,,R2,Regen,Regen,None,None,Unclear,Biomedical,YES,NO,,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.123936,2023,,R2,Unspecified,HPC|PAM,None,None,PAM,Sensor+Agricultural,YES,YES,-70,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.123425,2023,,R2,Regen,Regen,Salt,DN_IPN,Salt+DN,Sensor,NO,NO,,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES
10.1016/j.ijbiomac.2023.124780,2023,,R2,Unspecified,Chitin_CS,None,None,NanoCell+Chitin/CS,Sensor,NO,NO,,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES
10.1002/adfm.202305879,2023,Advanced Functional Materials,R2,None,None,DES_IL,PhotoPoly|SelfHeal|Adhesive,DES+PhotoPoly,Sensor+TENG,YES,NO,,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO
10.1080/10584587.2023.2227051,2023,,R2,Unspecified,PVA,Salt|Org_polyol,None,Salt+Org-H+NanoCell+PVA,Sensor,YES,YES,-20,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES
10.1002/pc.27243,2023,Polymer Composites,R2,CNC,NanoCell_CNC|Lignin|Chitin_CS,None,None,NanoCell+Lignin+Chitin/CS,General,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
10.1063/5.0139951,2023,,R2,Unspecified,PAM|PAA,None,DN_IPN|SelfHeal|Adhesive,DN+PAM+PAA,Sensor+Actuator+TENG,NO,NO,,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
10.1021/acsami.3c05208,2023,,R2,Unspecified,HEC|Gelatin,DES_IL|Org_polyol,DN_IPN|SelfHeal|Adhesive,DES+Org-H+DN+Gelatin,Sensor,YES,YES,-20,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES
10.1016/j.carbpol.2023.120567,2023,,R2,CNF,NanoCell_CNF|PAM,None,None,NanoCell+PAM,Sensor,YES,YES,-40,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.carbpol.2023.120744,2023,,R2,Regen,Regen,DES_IL,None,DES,Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/slct.202400710,2024,ChemistrySelect,R2,CNC,NanoCell_CNC|PVA|PAM,None,DN_IPN,DN+NanoCell+PVA+PAM,Sensor,NO,NO,,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES
10.1002/adfm.202312149,2024,Advanced Functional Materials,R2,None,None,Org_polyol,Adhesive,Org-H,Sensor+Biomedical,YES,NO,,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO
10.1063/5.0207037,2024,,R2,Unspecified,Chitin_CS|PVA,Salt,None,Salt+NanoCell+Chitin/CS+PVA,Sensor,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.bios.2023.115893,2023,,R2,CMC,CMC,None,SelfHeal|Adhesive,Unclear,Sensor+Encryption,NO,NO,,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
10.1002/app.55298,2024,Journal of Applied Polymer Science,R2,None,PVA,None,DN_IPN,DN+PVA,Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1016/j.carbpol.2024.123136,2024,,R2,Unspecified,Chitin_CS|PVA,Salt,Adhesive,Salt+Chitin/CS+PVA,Sensor+Biomedical,YES,NO,,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2024.131118,2024,,R2,Unspecified,NanoCell_CNF|PVA,None,DN_IPN,DN+NanoCell+PVA,Sensor+Actuator,YES,NO,,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1080/1536383x.2024.2310697,2024,,R2,Unspecified,Chitin_CS|Starch|Gelatin|PVA,None,None,Starch+Chitin/CS+PVA+Gelatin,Biomedical,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.59717/j.xinn-mater.2024.100092,2024,,R2,CNF,NanoCell_CNF|PVA,Salt,None,PVA,General,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.1080/10601325.2024.2409754,2024,,R2,CMC,CMC,None,DN_IPN,DN,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1039/d4ma00725e,2024,,R2,Unspecified,Cellulose_unspec,Org_polyol,None,Org-H,Sensor,NO,NO,,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1002/adfm.202411029,2024,Advanced Functional Materials,R2,None,None,DES_IL,SelfHeal,DES,Sensor+Energy,YES,NO,,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO
10.1016/j.carbpol.2024.122068,2024,,R2,CNC,NanoCell_CNC,None,None,NanoCell,Sensor+Biomedical+Environmental,NO,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.carbpol.2023.121685,2024,,R2,None,None,None,None,Unclear,General,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.1016/j.ijbiomac.2024.132419,2024,,R2,CNC,NanoCell_CNC|PVA,None,None,NanoCell+PVA,Sensor+Biomedical,YES,NO,,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.ijbiomac.2024.135947,2024,,R2,BC,BC,None,SelfHeal,Unclear,Sensor,NO,NO,,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.1002/sus2.249,2024,,R2,Regen,Regen,Salt|DES_IL,DynamicBond|SelfHeal,DES+DynamicBond,Sensor+Biomedical,NO,NO,,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES
10.2166/wpt.2023.230,2023,,R2,Unspecified,Gelatin,None,None,Gelatin,Environmental,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/adem.202300641,2023,Advanced Engineering Materials,R2,CNF+Modified,NanoCell_CNF|Modified|Gelatin,None,None,Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
10.1016/j.carbpol.2024.121932,2024,,R2,CNC,NanoCell_CNC|HEC,Org_polyol,SelfHeal|Adhesive,Org-H+NanoCell,Sensor,YES,YES,-60,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES
10.1002/smll.202409365,2024,,R2,Unspecified,PAM,DES_IL,DynamicBond|SelfHeal|Adhesive,DES+PAM,Sensor+Energy,YES,NO,,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES
10.1002/smll.202405826,2024,,R2,CNC,NanoCell_CNC|HEC,None,Adhesive,NanoCell,Biomedical,YES,YES,-60,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.ijbiomac.2024.136439,2024,,R2,Unspecified,Lignin|Chitin_CS,DES_IL,DN_IPN|Adhesive,DES+DN+Lignin+Chitin/CS,Sensor,YES,YES,-25,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES
10.1021/acsami.4c08984,2024,,R2,Unspecified,NanoCell_CNF,Org_polyol,None,Org-H+NanoCell,Sensor,YES,NO,,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES
10.1016/j.carbpol.2024.122552,2024,,R2,Unspecified,PAA,None,None,PAA,Sensor+Energy+Actuator+TENG,YES,YES,-60,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1021/acsnano.3c11578,2024,,R2,Unspecified,Cellulose_unspec,Org_polyol,None,Org-H,Sensor,YES,YES,-20,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1016/j.carbpol.2024.122497,2024,,R2,Unspecified,Cellulose_unspec,Salt,PhotoPoly,PhotoPoly,Sensor+Encryption,YES,YES,-75,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1016/j.ijbiomac.2024.132585,2024,,R2,Unspecified,Gelatin,DES_IL,DynamicBond|SelfHeal|Adhesive,DES+DynamicBond+Gelatin,Sensor+Energy,NO,NO,,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.carbpol.2024.122406,2024,,R2,Unspecified,CMC|PAM,None,DN_IPN,DN+PAM,Sensor,YES,NO,,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES
10.1016/j.carbpol.2025.124312,2025,,R2,Unspecified,PVA,Org_polyol,None,Org-H+PVA,Sensor,YES,YES,-18,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2025.148851,2025,,R2,Unspecified,NanoCell_CNF|CMC|Chitin_CS,DES_IL,DN_IPN,DES+DN+NanoCell+Chitin/CS,Sensor+Biomedical,YES,NO,,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.1016/j.jcis.2024.08.119,2024,,R2,Unspecified,Cellulose_unspec,Org_polyol,DN_IPN,Org-H+DN,General,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1002/app.58040,2025,,R2,CMC,CMC|PVA,Salt,DN_IPN,DN+PVA,Sensor,YES,YES,-40,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES
10.1002/macp.202500164,2025,,R2,Unspecified,PAA,Salt|Org_polyol,SelfHeal|Adhesive,Org-H+PAA,Sensor,NO,NO,,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES
10.1016/j.ijbiomac.2025.147477,2025,,R2,Unspecified,PVA,Salt|Org_polyol,None,Org-H+PVA,Sensor+Biomedical,YES,YES,-50,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.1016/j.jmbbm.2025.107258,2025,,R2,Unspecified,Gelatin,None,None,NanoCell+Gelatin,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1016/j.ijbiomac.2025.149374,2025,,R2,CMC,CMC|PAM,None,None,PAM,Sensor+Biomedical,YES,YES,-20,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES
10.1016/j.ijbiomac.2026.150776,2026,,R2,CNF,NanoCell_CNF|PVA,None,Adhesive,PVA,Sensor+Biomedical,NO,NO,,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
10.1038/ncomms15911,2017,,R2,Unspecified,Cellulose_unspec,Salt|Org_polyol,None,Org-H,General,YES,YES,-78,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.3389/fbioe.2020.602318,2020,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Sensor,NO,NO,,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1039/d3ta07424b,2024,,R2,Unspecified,PAM,None,None,NanoCell+PAM,Sensor,NO,NO,,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1039/d3ta04980a,2023,,R2,Unspecified,Cellulose_unspec,None,DN_IPN|Adhesive,DN,Sensor,NO,NO,,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
10.1039/d4nj03774j,2024,,R2,Unspecified,Cellulose_unspec,None,Adhesive,Unclear,Sensor,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,YES
10.1039/c6ra12517d,2016,,R2,Unspecified,Gelatin,None,DynamicBond,DynamicBond+Gelatin,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.33140/jpcppr.01.01.01,2022,,R2,Unspecified,Gelatin|PAM,None,None,PAM+Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.3390/polym17233102,2025,,R2,Unspecified,PAM,Salt,DN_IPN,Salt+DN+PAM,Sensor,YES,NO,,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
10.3390/gels11070522,2025,,R2,Unspecified,Cellulose_unspec,None,Adhesive,Unclear,Biomedical+Coating,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES
10.1038/s41467-018-05904-z,2018,,R2,Unspecified,PAA,None,None,PAA,General,YES,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.3390/antibiotics12050873,2023,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Biomedical+Agricultural+FoodPack,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES
10.3390/gels7040277,2021,,R2,HEC,HEC|Gelatin,Org_polyol,DN_IPN,Org-H+DN+Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.3390/gels9010020,2022,,R2,CMC+HEC,CMC|HEC,None,DN_IPN,DN,General,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES
10.1039/d5gc05362e,2026,,R2,Unspecified,Cellulose_unspec,DES_IL,Adhesive,DES,General,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES
10.4028/www.scientific.net/amr.1103.9,2015,,R2,Unspecified,CMC|Chitin_CS,Salt,None,Chitin/CS,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.4028/www.scientific.net/msf.929.136,2018,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,YES,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.15376/biores.11.3.7710-7720,2016,,R2,Unspecified,Cellulose_unspec,None,None,NanoCell,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES
10.3390/gels11010038,2025,,R2,CMC,CMC|Gelatin,None,None,Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES
10.3390/ma12101628,2019,,R2,CMC,CMC|Gelatin,Org_polyol,None,Org-H+Gelatin,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES
10.18321/ectj524,2017,,R2,Unspecified,CMC,None,None,Unclear,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1039/c4ra07576e,2014,,R2,Unspecified,PAM,None,None,PAM,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.4028/www.scientific.net/msf.1009.3,2020,,R2,CMC,CMC|Gelatin,None,None,Gelatin,Biomedical,NO,NO,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.1002/admt.202501019,2026,Advanced Materials Technologies,R2,None,None,None,DN_IPN,DN,General,NO,NO,,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10.3390/foods6060041,2017,,R2,CMC,CMC|Gelatin,None,None,Gelatin,Environmental+FoodPack,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.3390/foods11111619,2022,,R2,Unspecified,Cellulose_unspec,None,None,NanoCell,Environmental+FoodPack,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES
10.54097/ijbls.v2i3.8660,2023,,R2,BC,BC,Salt,None,Unclear,Environmental,NO,NO,,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES
10.1039/c8ra01639a,2018,,R2,BC,BC,None,None,Unclear,Actuator,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.15376/biores.13.1.xu,2017,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Biomedical,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.1039/c8cc05779f,2018,,R2,BC,BC,None,None,Unclear,General,NO,NO,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.1038/s41467-022-30224-8,2022,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,Sensor,YES,YES,-20,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES
10.4028/www.scientific.net/amm.852.349,2016,,R2,Regen,Regen,None,None,Unclear,General,YES,YES,-77,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.3390/ma13245789,2020,,R2,Unspecified,Cellulose_unspec,None,None,Unclear,General,YES,YES,-40,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES
10.54254/2753-8818/2026.au32025,2026,,R2,BC,BC,None,DynamicBond,DynamicBond,Biomedical+Environmental,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES
10.3390/ma14206165,2021,,R2,Unspecified,PAA,Org_polyol,SelfHeal|Adhesive,Org-H+PAA,Sensor,YES,YES,-70,YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES
